_id,start_time,end_time
1,2011-06-02T06:11,2011-06-02T16:17
2,2011-06-03T05:49,2011-06-03T19:04
3,2011-06-06T06:38,2011-06-06T19:37
4,2011-06-07T07:47,2011-06-07T19:04
5,2011-06-08T06:00,2011-06-08T17:37
6,2011-06-09T10:20,2011-06-09T18:56
7,2011-06-10T09:56,2011-06-10T17:40
8,2011-06-13T10:34,2011-06-13T16:32
9,2011-06-14T07:28,2011-06-14T17:53
10,2011-06-15T05:54,2011-06-15T18:13
11,2011-06-16T05:26,2011-06-16T19:02
12,2011-06-17T09:16,2011-06-17T19:55
13,2011-06-20T07:20,2011-06-20T20:00
14,2011-06-21T11:34,2011-06-21T18:22
15,2011-06-22T05:58,2011-06-22T20:51
16,2011-06-23T07:52,2011-06-23T19:34
17,2011-06-24T06:05,2011-06-24T17:12
18,2011-06-27T05:03,2011-06-27T16:20
19,2011-06-28T05:52,2011-06-28T17:58
20,2011-06-29T11:42,2011-06-29T19:30
21,2011-06-30T12:28,2011-06-30T20:38
22,2011-07-01T12:15,2011-07-01T18:35
23,2011-07-04T05:11,2011-07-04T16:14
24,2011-07-05T09:20,2011-07-05T18:34
25,2011-07-06T08:06,2011-07-06T16:23
26,2011-07-07T12:44,2011-07-07T18:31
27,2011-07-08T09:01,2011-07-08T18:56
28,2011-07-11T09:28,2011-07-11T17:55
29,2011-07-12T08:31,2011-07-12T16:38
30,2011-07-13T05:48,2011-07-13T19:42
31,2011-07-14T08:59,2011-07-14T16:27
32,2011-07-15T11:04,2011-07-15T18:33
33,2011-07-18T09:30,2011-07-18T19:56
34,2011-07-19T09:09,2011-07-19T18:26
35,2011-07-20T07:54,2011-07-20T16:42
36,2011-07-21T10:01,2011-07-21T20:41
37,2011-07-22T05:58,2011-07-22T19:56
38,2011-07-25T12:05,2011-07-25T19:19
39,2011-07-26T09:28,2011-07-26T17:30
40,2011-07-27T12:35,2011-07-27T19:12
41,2011-07-28T07:34,2011-07-28T18:33
42,2011-07-29T06:43,2011-07-29T18:23
43,2011-08-01T05:11,2011-08-01T18:08
44,2011-08-02T09:43,2011-08-02T20:06
45,2011-08-03T10:36,2011-08-03T20:53
46,2011-08-04T09:52,2011-08-04T16:27
47,2011-08-05T11:48,2011-08-05T18:01
48,2011-08-08T12:53,2011-08-08T18:08
49,2011-08-09T06:52,2011-08-09T20:28
50,2011-08-10T07:34,2011-08-10T17:35
51,2011-08-11T10:23,2011-08-11T18:20
52,2011-08-12T09:21,2011-08-12T19:32
53,2011-08-15T07:44,2011-08-15T20:00
54,2011-08-16T06:37,2011-08-16T20:01
55,2011-08-17T08:41,2011-08-17T19:45
56,2011-08-18T12:00,2011-08-18T20:12
57,2011-08-19T06:00,2011-08-19T19:02
58,2011-08-22T06:31,2011-08-22T18:43
59,2011-08-23T05:06,2011-08-23T20:24
60,2011-08-24T10:52,2011-08-24T16:43
61,2011-08-25T11:42,2011-08-25T19:06
62,2011-08-26T06:21,2011-08-26T18:09
63,2011-08-29T06:41,2011-08-29T19:33
64,2011-08-30T07:54,2011-08-30T19:43
65,2011-08-31T11:18,2011-08-31T17:51
66,2011-09-01T06:43,2011-09-01T19:55
67,2011-09-02T11:43,2011-09-02T20:19
68,2011-09-05T12:32,2011-09-05T19:30
69,2011-09-06T10:58,2011-09-06T20:05
70,2011-09-07T06:18,2011-09-07T17:36
71,2011-09-08T11:38,2011-09-08T17:11
72,2011-09-09T05:07,2011-09-09T17:43
73,2011-09-12T06:13,2011-09-12T16:54
74,2011-09-13T06:22,2011-09-13T19:56
75,2011-09-14T11:08,2011-09-14T18:27
76,2011-09-15T10:38,2011-09-15T18:50
77,2011-09-16T06:05,2011-09-16T16:58
78,2011-09-19T05:08,2011-09-19T20:03
79,2011-09-20T06:02,2011-09-20T19:36
80,2011-09-21T06:31,2011-09-21T16:02
81,2011-09-22T08:43,2011-09-22T19:10
82,2011-09-23T06:12,2011-09-23T19:50
83,2011-09-26T08:50,2011-09-26T17:41
84,2011-09-27T07:09,2011-09-27T18:21
85,2011-09-28T06:45,2011-09-28T20:26
86,2011-09-29T08:21,2011-09-29T20:45
87,2011-09-30T05:28,2011-09-30T20:32
88,2011-10-03T07:40,2011-10-03T19:31
89,2011-10-04T11:32,2011-10-04T20:36
90,2011-10-05T12:22,2011-10-05T19:54
91,2011-10-06T06:06,2011-10-06T16:21
92,2011-10-07T05:29,2011-10-07T17:35
93,2011-10-10T06:25,2011-10-10T17:02
94,2011-10-11T09:41,2011-10-11T20:26
95,2011-10-12T12:16,2011-10-12T19:07
96,2011-10-13T12:49,2011-10-13T16:23
97,2011-10-14T10:10,2011-10-14T17:47
98,2011-10-17T09:28,2011-10-17T18:03
99,2011-10-18T05:34,2011-10-18T16:52
100,2011-10-19T09:32,2011-10-19T17:03
101,2011-10-20T08:00,2011-10-20T17:08
102,2011-10-21T12:16,2011-10-21T18:04
103,2011-10-24T10:30,2011-10-24T17:05
104,2011-10-25T09:09,2011-10-25T19:23
105,2011-10-26T09:16,2011-10-26T16:41
106,2011-10-27T06:30,2011-10-27T20:17
107,2011-10-28T05:56,2011-10-28T16:49
108,2011-10-31T06:09,2011-10-31T17:10
109,2011-11-01T09:00,2011-11-01T17:15
110,2011-11-02T08:13,2011-11-02T19:17
111,2011-11-03T09:02,2011-11-03T18:39
112,2011-11-04T06:09,2011-11-04T17:30
113,2011-11-07T12:40,2011-11-07T17:19
114,2011-11-08T05:20,2011-11-08T17:25
115,2011-11-09T06:18,2011-11-09T20:42
116,2011-11-10T10:46,2011-11-10T16:41
117,2011-11-11T08:56,2011-11-11T16:40
118,2011-11-14T11:23,2011-11-14T18:56
119,2011-11-15T06:29,2011-11-15T19:48
120,2011-11-16T08:39,2011-11-16T18:08
121,2011-11-17T06:45,2011-11-17T16:47
122,2011-11-18T10:52,2011-11-18T20:12
123,2011-11-21T11:53,2011-11-21T19:42
124,2011-11-22T08:16,2011-11-22T17:50
125,2011-11-23T12:51,2011-11-23T20:33
126,2011-11-24T05:58,2011-11-24T18:08
127,2011-11-25T05:27,2011-11-25T16:52
128,2011-11-28T10:03,2011-11-28T20:47
129,2011-11-29T11:39,2011-11-29T19:19
130,2011-11-30T12:04,2011-11-30T19:58
131,2011-12-01T09:59,2011-12-01T19:21
132,2011-12-02T09:19,2011-12-02T16:37
133,2011-12-05T05:25,2011-12-05T17:04
134,2011-12-06T06:11,2011-12-06T19:35
135,2011-12-07T06:14,2011-12-07T16:19
136,2011-12-08T06:43,2011-12-08T16:15
137,2011-12-09T08:27,2011-12-09T16:35
138,2011-12-12T11:56,2011-12-12T20:30
139,2011-12-13T12:52,2011-12-13T20:22
140,2011-12-14T10:43,2011-12-14T20:37
141,2011-12-15T12:42,2011-12-15T20:02
142,2011-12-16T06:17,2011-12-16T20:30
143,2011-12-19T07:58,2011-12-19T17:51
144,2011-12-20T10:03,2011-12-20T18:48
145,2011-12-21T10:35,2011-12-21T20:56
146,2011-12-22T11:34,2011-12-22T18:25
147,2011-12-23T09:50,2011-12-23T20:22
148,2011-12-26T11:11,2011-12-26T16:32
149,2011-12-27T10:50,2011-12-27T17:43
150,2011-12-28T05:41,2011-12-28T16:00
151,2011-12-29T06:54,2011-12-29T20:10
152,2011-12-30T09:17,2011-12-30T19:35
153,2012-01-02T08:07,2012-01-02T20:17
